upload_date,media_type,likes,shares,saves,engagement_rate
2025-04-15 09:25:22.954916,Video,56382,713,4160,4.7
2025-03-12 09:25:22.954916,Photo,121423,3955,13871,8.08
2025-10-15 09:25:22.954916,Photo,75538,667,5729,5.47
2025-05-09 09:25:22.954916,Photo,94378,3358,4704,10.55
2025-04-22 09:25:22.954916,Carousel,98569,2853,14218,7.74
2025-02-19 09:25:22.954916,Photo,2188,3571,9184,1.35
2025-07-23 09:25:22.954916,Reel,4739,2253,4011,4.51
2025-04-21 09:25:22.954916,Photo,60395,1287,3334,3.37
2025-02-15 09:25:22.954916,Video,71753,2025,7848,6.33
2025-02-11 09:25:22.954916,Video,191385,1593,7165,9.31
2025-10-14 09:25:22.954916,Reel,59042,1978,11350,6.6
2024-12-20 09:25:22.954916,Carousel,133031,2589,9452,18.39
2025-08-23 09:25:22.954916,Reel,71357,4246,1060,5.58
2024-12-17 09:25:22.954916,Carousel,93544,2118,4111,5.55
2025-03-20 09:25:22.954916,Video,171840,1547,13246,19.34
2025-06-27 09:25:22.954916,Photo,143899,1844,8733,8.7
2025-07-06 09:25:22.954916,Photo,159218,1580,11401,53.46
2025-07-04 09:25:22.954916,Reel,197177,380,1748,16.61
2025-04-22 09:25:22.954916,Carousel,21996,641,8360,2.3
2024-12-31 09:25:22.954916,Photo,155671,3487,6485,9.72
2025-06-17 09:25:22.954916,Photo,5576,1575,2781,0.88
2025-02-08 09:25:22.954916,Carousel,106477,2184,13508,8.97
2025-05-09 09:25:22.954916,Video,113592,4820,7470,68.83
2025-07-26 09:25:22.954916,Carousel,104651,810,8738,11.01
2025-10-30 09:25:22.954916,Reel,83034,526,4208,7.33
2025-01-23 09:25:22.954916,Video,85288,1946,14209,5.19
2025-04-12 09:25:22.954916,Photo,107296,3498,8725,25.12
2025-06-29 09:25:22.954916,Video,7473,1702,12228,4.18
2024-12-14 09:25:22.954916,Photo,135256,1716,355,13.08
2025-10-20 09:25:22.954916,Reel,117267,1588,13859,7.82
2025-06-02 09:25:22.954916,Carousel,65028,2275,12134,3.94
2025-02-21 09:25:22.954916,Photo,141610,3811,14371,36.25
2025-04-11 09:25:22.954916,Photo,66834,371,14022,4.47
2025-04-27 09:25:22.954916,Video,102350,3337,3119,5.46
2025-06-26 09:25:22.954916,Carousel,18145,1334,14380,34.37
2025-01-03 09:25:22.954916,Carousel,156766,1090,1285,9.89
2025-06-21 09:25:22.954916,Carousel,123729,3797,12094,10.76
2025-07-09 09:25:22.954916,Carousel,154182,4983,4489,14.22
2025-08-11 09:25:22.954916,Video,95680,4662,7884,7.2
2025-04-12 09:25:22.954916,Carousel,160663,3793,1658,41.89
2025-03-06 09:25:22.954916,Reel,55683,3403,9043,11.88
2025-06-02 09:25:22.954916,Video,195724,591,1447,24.35
2025-06-16 09:25:22.954916,Carousel,87305,1543,1558,5.96
2025-08-03 09:25:22.954916,Photo,167420,4152,7019,14.73
2025-08-30 09:25:22.954916,Carousel,29728,4181,8129,3.4
2025-09-10 09:25:22.954916,Reel,98620,214,1719,6.25
2025-02-01 09:25:22.954916,Reel,21554,1984,4730,1.54
2024-11-21 09:25:22.954916,Photo,161614,2604,14819,45.16
2024-12-18 09:25:22.954916,Video,184536,2215,7962,33.55
2025-01-31 09:25:22.954916,Photo,126446,1694,1253,9.87
2024-11-21 09:25:22.954916,Video,192838,3916,4460,17.84
2025-02-18 09:25:22.954916,Photo,181564,2880,8201,26.06
2025-06-16 09:25:22.954916,Video,79103,3257,12182,6.31
2024-12-19 09:25:22.954916,Photo,188854,2611,1718,23.29
2025-11-16 09:25:22.954916,Photo,27630,2569,13511,6.97
2025-01-26 09:25:22.954916,Reel,191217,4496,6445,11.86
2025-03-11 09:25:22.954916,Carousel,87108,358,13138,7.41
2025-06-29 09:25:22.954916,Carousel,56225,3854,12530,3.66
2025-06-02 09:25:22.954916,Carousel,183586,2031,7374,14.9
2025-06-26 09:25:22.954916,Reel,156172,727,11248,20.63
2025-03-28 09:25:22.954916,Reel,98038,4909,8253,14.02
2025-04-07 09:25:22.954916,Video,125095,1024,3457,8.23
2025-08-15 09:25:22.954916,Photo,131540,4281,2057,16.38
2025-04-30 09:25:22.954916,Carousel,20835,2336,14405,2.16
2025-03-05 09:25:22.954916,Photo,172907,4507,9979,19.27
2025-05-12 09:25:22.954916,Carousel,112677,446,3268,11.32
2025-02-05 09:25:22.954916,Photo,141901,1679,13327,7.05
2025-07-29 09:25:22.954916,Video,188652,1122,13462,66.89
2025-04-30 09:25:22.954916,Photo,125362,4311,9556,14.29
2025-03-10 09:25:22.954916,Photo,198873,713,1483,18.38
2025-04-20 09:25:22.954916,Photo,105175,1311,4059,19.16
2025-06-24 09:25:22.954916,Video,106243,3962,9589,73.64
2024-12-22 09:25:22.954916,Photo,8278,3444,6566,12.95
2025-10-30 09:25:22.954916,Reel,155651,2354,13922,11.26
2025-10-10 09:25:22.954916,Photo,29119,3059,4117,5.8
2025-06-14 09:25:22.954916,Video,92077,560,2688,11.73
2025-09-24 09:25:22.954916,Video,164084,579,4113,9.77
2025-06-07 09:25:22.954916,Carousel,75323,2543,1038,9.4
2025-07-13 09:25:22.954916,Photo,77733,4545,2868,6.63
2024-12-13 09:25:22.954916,Photo,107334,2054,2492,9.7
2025-08-14 09:25:22.954916,Video,66481,4250,9776,37.91
2024-11-24 09:25:22.954916,Photo,106325,3324,4707,13.4
2025-10-02 09:25:22.954916,Photo,120220,1481,14009,14.97
2025-09-29 09:25:22.954916,Video,42971,3072,14108,3.17
2025-04-29 09:25:22.954916,Photo,149861,4536,8564,11.96
2025-02-04 09:25:22.954916,Reel,6544,2842,10643,4.99
2025-04-10 09:25:22.954916,Video,159079,3376,8275,12.46
2024-12-07 09:25:22.954916,Video,30825,3935,3872,2.02
2025-06-11 09:25:22.954916,Reel,82728,3728,9882,5.41
2025-08-31 09:25:22.954916,Carousel,112420,1416,167,6.34
2025-08-21 09:25:22.954916,Reel,184138,4629,5929,12.03
2025-01-20 09:25:22.954916,Photo,79883,927,12631,5.79
2025-04-25 09:25:22.954916,Photo,94825,2268,9313,6.54
2025-05-25 09:25:22.954916,Video,173,2633,2584,2.11
2025-01-11 09:25:22.954916,Carousel,109921,2191,5713,7.65
2024-12-06 09:25:22.954916,Photo,24424,2398,12097,3.13
2025-11-08 09:25:22.954916,Photo,71608,433,9154,8.28
2025-08-08 09:25:22.954916,Carousel,182434,27,4731,11.16
2025-10-01 09:25:22.954916,Video,95509,258,10755,9.08
2025-06-19 09:25:22.954916,Reel,135425,3037,1064,19.31
2025-07-18 09:25:22.954916,Photo,27095,4934,14737,2.02
2025-04-23 09:25:22.954916,Video,133491,4741,10767,13.3
2025-06-19 09:25:22.954916,Carousel,172245,2089,349,10.37
2025-09-04 09:25:22.954916,Reel,186969,1905,5084,27.37
2025-06-25 09:25:22.954916,Carousel,156102,680,13674,27.85
2024-12-17 09:25:22.954916,Photo,107713,4570,6585,6.29
2025-05-17 09:25:22.954916,Video,165728,3244,11242,72.01
2025-09-27 09:25:22.954916,Video,145669,4194,3756,13.14
2025-05-20 09:25:22.954916,Video,199705,4195,14154,29.52
2025-09-05 09:25:22.954916,Video,23488,1231,253,2.81
2025-06-20 09:25:22.954916,Carousel,76948,2742,3811,406.91
2025-09-01 09:25:22.954916,Photo,38176,3953,8597,4.79
2024-12-23 09:25:22.954916,Video,8111,4296,8224,1.39
2025-09-28 09:25:22.954916,Video,154462,3068,1260,11.66
2025-02-07 09:25:22.954916,Video,99584,3346,11986,6.63
2025-05-06 09:25:22.954916,Reel,53192,429,11352,4.47
2025-08-27 09:25:22.954916,Carousel,80156,300,1786,8.83
2025-09-11 09:25:22.954916,Video,85508,4829,8868,22.4
2025-01-02 09:25:22.954916,Reel,153130,1136,2860,9.17
2025-02-19 09:25:22.954916,Video,23084,1088,9137,1.87
2024-12-26 09:25:22.954916,Photo,126872,4962,7642,12.6
2025-06-05 09:25:22.954916,Carousel,153296,865,3031,9.47
2025-06-05 09:25:22.954916,Photo,74575,4578,6963,9.15
2025-02-23 09:25:22.954916,Reel,160316,4459,8609,10.28
2025-11-14 09:25:22.954916,Reel,12903,2251,4502,4.29
2025-02-14 09:25:22.954916,Reel,29054,4683,1048,2.05
2025-04-27 09:25:22.954916,Carousel,152979,2221,5926,9.69
2024-12-26 09:25:22.954916,Photo,177048,3505,1907,14.96
2024-12-31 09:25:22.954916,Carousel,145431,670,4284,29.68
2025-04-27 09:25:22.954916,Video,67523,3078,11494,7.0
2025-03-15 09:25:22.954916,Reel,132268,4110,13545,15.43
2025-07-25 09:25:22.954916,Reel,103709,3435,3460,5.73
2025-05-17 09:25:22.954916,Reel,171391,4596,4872,16.95
2025-11-17 09:25:22.954916,Photo,134431,636,9377,25.29
2025-09-01 09:25:22.954916,Carousel,129104,2475,9648,19.86
2025-10-01 09:25:22.954916,Video,151164,1458,11149,17.43
2025-02-27 09:25:22.954916,Carousel,15606,2093,6403,12.9
2024-11-29 09:25:22.954916,Carousel,173092,4409,4271,42.43
2025-06-06 09:25:22.954916,Carousel,102665,2885,10389,8.88
2025-10-21 09:25:22.954916,Photo,65978,4077,26,7.46
2025-11-01 09:25:22.954916,Reel,73562,1911,6086,5.09
2025-03-01 09:25:22.954916,Reel,166204,4236,7952,16.61
2025-11-07 09:25:22.954916,Photo,68109,2839,14565,34.35
2025-07-27 09:25:22.954916,Carousel,49797,2832,7743,3.32
2025-01-18 09:25:22.954916,Photo,182215,2745,14402,89.33
2025-02-22 09:25:22.954916,Reel,84905,3114,9150,6.96
2025-03-18 09:25:22.954916,Video,123388,169,4745,6.85
2025-03-12 09:25:22.954916,Video,197202,1973,8267,72.62
2024-12-11 09:25:22.954916,Video,90898,3656,2465,7.52
2025-01-25 09:25:22.954916,Video,140965,2576,10509,98.08
2025-01-09 09:25:22.954916,Carousel,145549,149,2469,40.27
2025-10-08 09:25:22.954916,Photo,160136,3655,6984,24.46
2025-01-10 09:25:22.954916,Carousel,32829,135,13602,2.88
2025-01-27 09:25:22.954916,Reel,173554,1179,8912,14.35
2025-04-22 09:25:22.954916,Photo,119754,138,14835,30.78
2025-08-14 09:25:22.954916,Photo,115114,2594,3198,17.69
2025-06-28 09:25:22.954916,Carousel,174274,201,7190,12.34
2024-11-30 09:25:22.954916,Video,154813,2259,4015,11.39
2025-04-02 09:25:22.954916,Carousel,43118,1546,4335,11.31
2025-05-14 09:25:22.954916,Photo,41352,2918,13385,6.41
2025-03-31 09:25:22.954916,Reel,153298,4128,12798,34.19
2025-03-14 09:25:22.954916,Video,142534,1364,12461,17.34
2025-05-25 09:25:22.954916,Photo,153505,658,2008,8.82
2025-09-04 09:25:22.954916,Carousel,189790,2846,5761,10.96
2025-07-30 09:25:22.954916,Carousel,191534,4040,1707,12.28
2025-11-17 09:25:22.954916,Reel,144951,2727,11883,8.55
2025-03-08 09:25:22.954916,Carousel,95489,2221,13985,7.64
2025-03-16 09:25:22.954916,Carousel,187048,1604,7142,9.76
2025-11-19 09:25:22.954916,Carousel,161008,1628,9504,20.21
2025-02-04 09:25:22.954916,Video,47687,2432,2077,4.44
2025-08-31 09:25:22.954916,Video,17002,931,3129,1.93
2025-02-26 09:25:22.954916,Video,92136,3444,8920,6.79
2024-12-19 09:25:22.954916,Video,190059,4244,5776,11.38
2025-02-03 09:25:22.954916,Video,156819,3931,13986,14.11
2025-08-27 09:25:22.954916,Reel,106362,4313,14738,5.67
2025-02-15 09:25:22.954916,Photo,87679,1901,10807,30.37
2024-12-08 09:25:22.954916,Photo,24966,2265,1862,6.63
2025-09-17 09:25:22.954916,Video,125561,4450,12743,11.81
2024-12-31 09:25:22.954916,Reel,28939,1699,14535,2.71
2025-08-28 09:25:22.954916,Carousel,5206,4862,9252,1.9
2025-02-01 09:25:22.954916,Video,17776,3483,4185,3.02
2025-03-14 09:25:22.954916,Photo,140389,1949,14280,101.09
2025-07-16 09:25:22.954916,Reel,56228,2460,6731,2.96
2025-04-08 09:25:22.954916,Reel,189961,3641,2828,20.97
2025-08-22 09:25:22.954916,Carousel,60897,1533,11780,10.56
2025-03-19 09:25:22.954916,Carousel,71870,4244,2301,16.13
2025-02-21 09:25:22.954916,Photo,102580,4897,10822,5.67
2025-04-27 09:25:22.954916,Reel,80145,4499,2903,8.12
2025-11-13 09:25:22.954916,Photo,179827,3471,13410,10.63
2025-04-15 09:25:22.954916,Photo,44761,2248,11291,15.98
2025-10-21 09:25:22.954916,Carousel,77868,529,304,4.8
2025-09-09 09:25:22.954916,Video,12122,4976,13130,1.63
2025-03-19 09:25:22.954916,Carousel,70155,296,4378,3.76
2025-10-26 09:25:22.954916,Photo,193726,1238,11821,9.61
2025-05-26 09:25:22.954916,Carousel,78400,3475,400,8.31
2025-11-04 09:25:22.954916,Reel,178319,2544,3255,14.93
2025-09-27 09:25:22.954916,Video,119398,2494,13687,6.11
2025-04-26 09:25:22.954916,Photo,184300,2382,8361,8.7
2025-03-23 09:25:22.954916,Video,119158,3621,11336,8.22
2025-01-30 09:25:22.954916,Reel,115714,2048,10533,34.7
2025-04-27 09:25:22.954916,Carousel,164844,310,8264,10.93
2025-05-15 09:25:22.954916,Photo,109423,3434,14554,6.73
2024-12-13 09:25:22.954916,Reel,7678,2086,1791,2.17
2025-06-29 09:25:22.954916,Reel,113555,1720,302,5.38
2025-05-27 09:25:22.954916,Video,124148,2062,12036,6.87
2025-09-25 09:25:22.954916,Video,88778,2847,7880,12.17
2025-06-29 09:25:22.954916,Carousel,108946,1141,12308,8.86
2025-07-28 09:25:22.954916,Reel,126157,4875,1890,10.34
2025-10-30 09:25:22.954916,Carousel,77281,2187,2238,6.52
2024-12-01 09:25:22.954916,Reel,2851,1241,5278,3.37
2025-10-09 09:25:22.954916,Carousel,42089,411,7188,17.48
2025-07-22 09:25:22.954916,Carousel,30992,4715,10413,8.61
2025-08-18 09:25:22.954916,Photo,169194,2517,156,66.84
2025-01-31 09:25:22.954916,Reel,36305,951,5653,2.81
2024-11-24 09:25:22.954916,Video,186277,759,13357,56.0
2025-07-22 09:25:22.954916,Video,16779,3720,122,8.45
2025-06-14 09:25:22.954916,Photo,110061,1198,2598,7.16
2025-03-27 09:25:22.954916,Video,75012,4635,13833,17.39
2025-05-08 09:25:22.954916,Photo,108114,2933,13494,23.89
2025-05-26 09:25:22.954916,Carousel,89416,1283,11729,4.6
2025-09-14 09:25:22.954916,Photo,25486,1931,3004,1.98
2025-01-20 09:25:22.954916,Video,20967,76,13663,4.05
2025-07-22 09:25:22.954916,Video,153695,4631,11681,39.57
2025-05-03 09:25:22.954916,Video,78397,1721,5577,6.99
2025-02-03 09:25:22.954916,Photo,182453,2221,11060,29.29
2025-07-19 09:25:22.954916,Photo,196452,3782,11202,16.15
2025-11-08 09:25:22.954916,Video,105181,2054,7679,6.73
2025-08-28 09:25:22.954916,Carousel,23970,4996,9169,2.99
2025-05-08 09:25:22.954916,Photo,150720,2894,4151,9.74
2025-07-26 09:25:22.954916,Carousel,24766,1985,7361,3.44
2025-07-28 09:25:22.954916,Video,126329,3397,14031,9.41
2024-11-20 09:25:22.954916,Reel,198491,3079,2494,20.59
2025-08-31 09:25:22.954916,Carousel,139119,4443,847,8.81
2025-01-17 09:25:22.954916,Carousel,195680,3024,5782,19.24
2024-11-28 09:25:22.954916,Video,64591,1776,4735,8.33
2025-01-13 09:25:22.954916,Reel,108274,2931,8171,12.28
2025-05-12 09:25:22.954916,Photo,127026,1231,9612,6.59
2025-04-12 09:25:22.954916,Video,24285,1396,8635,2.0
2025-08-26 09:25:22.954916,Video,104828,3526,3112,9.26
2025-08-24 09:25:22.954916,Photo,24717,4588,7877,4.11
2025-06-11 09:25:22.954916,Photo,84605,4352,4202,4.34
2025-01-26 09:25:22.954916,Carousel,192090,293,6536,24.98
2025-01-05 09:25:22.954916,Carousel,101642,1040,11432,19.34
2025-07-26 09:25:22.954916,Video,79239,2214,11434,4.59
2025-01-23 09:25:22.954916,Carousel,109617,4311,7976,10.01
2025-06-05 09:25:22.954916,Photo,17094,2401,2691,1.44
2024-12-31 09:25:22.954916,Carousel,8639,4654,10518,1.59
2025-07-12 09:25:22.954916,Reel,177363,586,11030,8.57
2025-07-16 09:25:22.954916,Reel,198802,2841,2304,15.12
2025-04-01 09:25:22.954916,Video,168780,2504,14244,12.86
2025-07-15 09:25:22.954916,Carousel,102850,4356,11223,7.95
2025-03-01 09:25:22.954916,Reel,1609,2856,5506,2.01
2025-03-10 09:25:22.954916,Carousel,146158,2662,8772,40.27
2025-10-24 09:25:22.954916,Carousel,46250,464,14290,3.73
2024-12-09 09:25:22.954916,Photo,178428,1439,7266,8.04
2025-05-22 09:25:22.954916,Video,37347,4638,13210,4.1
2025-03-27 09:25:22.954916,Photo,175623,742,11549,14.07
2025-10-28 09:25:22.954916,Carousel,146162,4622,7181,34.64
2025-05-12 09:25:22.954916,Reel,142546,701,6018,9.89
2024-11-30 09:25:22.954916,Video,25399,183,7522,7.61
2025-07-24 09:25:22.954916,Carousel,171389,1189,11239,34.89
2025-02-07 09:25:22.954916,Photo,71359,4819,14630,20.97
2025-10-22 09:25:22.954916,Reel,27655,2784,11988,2.1
2025-04-16 09:25:22.954916,Video,198982,2226,3300,11.71
2024-11-19 09:25:22.954916,Photo,101256,3887,8229,5.91
2025-05-09 09:25:22.954916,Photo,103168,1663,4388,5.84
2025-01-01 09:25:22.954916,Carousel,7532,3473,11012,1.35
2025-02-14 09:25:22.954916,Video,29146,1917,7298,4.02
2024-11-23 09:25:22.954916,Video,68978,1014,14189,22.41
2025-09-22 09:25:22.954916,Reel,176117,4272,2576,44.71
2025-10-19 09:25:22.954916,Photo,11922,1469,7692,2.61
2025-11-05 09:25:22.954916,Carousel,125527,3127,4296,6.04
2025-10-02 09:25:22.954916,Carousel,84762,4359,6419,13.76
2025-08-13 09:25:22.954916,Photo,9580,3493,6866,1.64
2025-02-12 09:25:22.954916,Reel,17236,388,1779,2.81
2025-05-05 09:25:22.954916,Reel,53613,2069,14213,4.16
2025-09-03 09:25:22.954916,Video,31934,2991,6249,3.36
2025-07-20 09:25:22.954916,Photo,71110,3911,10315,6.4
2025-05-08 09:25:22.954916,Carousel,45970,3217,4483,2.38
2025-11-04 09:25:22.954916,Reel,197326,2779,1578,17.12
2025-01-25 09:25:22.954916,Video,63396,866,13191,9.23
2025-07-19 09:25:22.954916,Reel,65654,3262,2266,14.03
2025-09-08 09:25:22.954916,Video,68336,1312,5908,4.09
2024-12-09 09:25:22.954916,Video,30630,4552,9345,3.1
2025-10-21 09:25:22.954916,Reel,27103,7,11856,3.43
2025-02-21 09:25:22.954916,Video,182806,2023,1196,87.4
2024-12-22 09:25:22.954916,Video,41977,1391,14280,10.3
2025-05-10 09:25:22.954916,Carousel,168286,4750,9448,9.2
2025-09-29 09:25:22.954916,Photo,120634,2199,4768,15.77
2024-12-26 09:25:22.954916,Video,24514,1555,14422,10.17
2025-10-05 09:25:22.954916,Reel,155185,3234,2741,14.85
2025-07-08 09:25:22.954916,Photo,63095,298,2101,3.91
2025-08-29 09:25:22.954916,Reel,26344,1451,1381,1.63
2025-06-27 09:25:22.954916,Video,160740,586,7069,7.84
2025-04-27 09:25:22.954916,Reel,163912,918,6557,23.5
2025-10-13 09:25:22.954916,Video,110047,405,7173,22.13
2025-09-29 09:25:22.954916,Carousel,123916,1376,5479,7.42
2025-01-02 09:25:22.954916,Video,39902,4814,1310,3.02
2025-08-12 09:25:22.954916,Photo,46591,630,11075,3.08
2025-07-10 09:25:22.954916,Carousel,3332,3182,13960,1.47
2025-03-13 09:25:22.954916,Reel,7180,177,861,0.6
2024-12-16 09:25:22.954916,Photo,28781,1869,9217,7.9
2025-09-13 09:25:22.954916,Reel,79511,4865,14474,6.7
2025-07-10 09:25:22.954916,Photo,10706,1523,6852,1.33
2025-07-12 09:25:22.954916,Reel,160236,2635,319,25.59
2025-04-07 09:25:22.954916,Video,136679,2584,10497,8.01
2024-11-20 09:25:22.954916,Photo,41270,2650,8806,4.87
2025-10-29 09:25:22.954916,Video,6934,1861,5771,1.09
2024-12-30 09:25:22.954916,Carousel,60006,2962,4108,3.73
2025-07-02 09:25:22.954916,Carousel,30106,1446,8424,5.19
2025-06-21 09:25:22.954916,Carousel,138617,883,12016,8.1
2025-06-29 09:25:22.954916,Video,196587,938,953,28.22
2025-05-21 09:25:22.954916,Video,187182,3533,13245,10.83
2025-10-19 09:25:22.954916,Video,18536,362,6502,1.37
2025-03-25 09:25:22.954916,Photo,117436,2761,8787,6.59
2025-10-12 09:25:22.954916,Video,94654,2925,3860,5.17
2025-07-26 09:25:22.954916,Reel,88490,3202,12013,6.72
2025-09-20 09:25:22.954916,Carousel,104684,1863,6193,9.33
2025-09-30 09:25:22.954916,Video,59765,2702,8934,5.95
2025-03-03 09:25:22.954916,Carousel,115927,757,8867,8.84
2025-11-14 09:25:22.954916,Carousel,60073,355,8942,3.16
2024-12-20 09:25:22.954916,Photo,121589,243,270,26.82
2024-11-19 09:25:22.954916,Carousel,100483,1493,3728,30.29
2025-02-05 09:25:22.954916,Carousel,34311,1935,3233,3.94
2025-03-18 09:25:22.954916,Video,128433,1883,13958,18.06
2025-08-15 09:25:22.954916,Photo,170382,532,16,30.2
2025-03-11 09:25:22.954916,Reel,170631,4791,7133,43.48
2024-12-12 09:25:22.954916,Photo,69744,4512,13514,8.97
2024-12-16 09:25:22.954916,Video,29720,860,2327,6.85
2025-02-03 09:25:22.954916,Photo,185097,3443,6068,28.68
2025-04-01 09:25:22.954916,Carousel,116401,2390,7222,11.52
2025-01-06 09:25:22.954916,Video,2311,1627,10230,1.53
2025-08-13 09:25:22.954916,Photo,68817,4310,4791,4.6
2025-08-23 09:25:22.954916,Carousel,14480,4444,1759,1.09
2025-09-13 09:25:22.954916,Reel,37450,4824,14542,5.46
2025-07-11 09:25:22.954916,Photo,64107,606,7619,10.59
2025-04-23 09:25:22.954916,Reel,106474,2886,10229,11.29
2025-07-23 09:25:22.954916,Video,182335,4796,11071,13.58
2025-09-02 09:25:22.954916,Reel,63047,1842,7482,3.85
2025-10-13 09:25:22.954916,Reel,180234,390,14580,22.65
2025-10-31 09:25:22.954916,Video,104154,4332,4584,7.25
2025-10-04 09:25:22.954916,Reel,101706,2825,6536,7.25
2025-10-12 09:25:22.954916,Carousel,42232,1202,3637,3.09
2025-06-25 09:25:22.954916,Carousel,134879,3219,770,15.01
2025-04-14 09:25:22.954916,Reel,83724,4666,1163,33.19
2025-07-30 09:25:22.954916,Carousel,14674,1739,6165,2.79
2025-03-31 09:25:22.954916,Video,168610,1158,10077,45.67
2025-09-23 09:25:22.954916,Carousel,65367,159,8147,6.21
2025-06-01 09:25:22.954916,Reel,180434,3486,1480,17.83
2025-05-18 09:25:22.954916,Reel,39202,185,757,14.35
2025-05-20 09:25:22.954916,Photo,166298,1303,12901,8.99
2025-06-14 09:25:22.954916,Reel,19459,3684,7603,3.96
2025-04-11 09:25:22.954916,Video,18110,1185,11312,19.23
2025-04-26 09:25:22.954916,Photo,197989,4526,14976,51.72
2025-11-10 09:25:22.954916,Photo,85658,1826,8685,25.78
2025-09-13 09:25:22.954916,Video,174222,2588,10478,8.46
2025-10-01 09:25:22.954916,Carousel,138447,994,1752,37.9
2025-02-10 09:25:22.954916,Video,10289,1946,7742,1.2
2025-08-16 09:25:22.954916,Carousel,31936,3823,7629,2.41
2025-02-02 09:25:22.954916,Video,107962,1704,7007,5.49
2025-08-07 09:25:22.954916,Video,43352,3965,8828,20.41
2024-11-21 09:25:22.954916,Reel,197669,3214,12944,13.08
2025-07-04 09:25:22.954916,Video,14473,2921,14576,2.03
2025-09-07 09:25:22.954916,Carousel,189422,4468,13037,13.55
2025-01-24 09:25:22.954916,Carousel,121136,1441,5613,49.45
2025-05-23 09:25:22.954916,Reel,135581,2618,13885,17.1
2024-11-25 09:25:22.954916,Video,7936,3941,9749,1.59
2025-05-07 09:25:22.954916,Photo,54101,4673,9429,7.62
2025-10-08 09:25:22.954916,Video,36886,2092,9945,3.96
2025-07-28 09:25:22.954916,Carousel,173291,3638,10329,8.66
2025-08-03 09:25:22.954916,Video,88664,2048,9616,15.54
2025-03-30 09:25:22.954916,Photo,75603,823,11146,10.37
2025-09-03 09:25:22.954916,Video,11406,1957,579,10.68
2025-07-21 09:25:22.954916,Video,65169,2972,12375,17.06
2025-11-15 09:25:22.954916,Carousel,1246,3163,13327,2.52
2025-11-08 09:25:22.954916,Carousel,132193,838,2569,7.31
2025-05-06 09:25:22.954916,Video,177316,3353,1038,10.76
